File,Method,Context,Micro Accuracy (%),Macro Accuracy (%)
overall_result_CoT_2.json,CoT,Overall 2,92.00,87.00
overall_result_LTM_2.json,LTM,Overall 2,86.00,82.00
overall_result_Python_2.json,Python,Overall 2,80.00,76.00
overall_result_CoT.json,CoT,Overall m,95.00,95.00
overall_result_LTM.json,LTM,Overall m,89.00,94.00
overall_result_Python.json,Python,Overall m,95.00,91.00
overall_result_LTM_instructed_m.json,LTM,Overall m,94.00,87.00
overall_result_CoT_instructed_m.json,CoT,Overall m,91.00,90.00
overall_result_CoT_instructed_2.json,CoT,Overall 2,85.00,84.00
overall_result_LTM_instructed_2.json,LTM,Overall 2,81.00,83.00
overall_result_Python_instructed_2.json,Python,Overall 2,85.00,82.00
overall_result_Python_instructed_m.json,Python,Overall m,95.00,95.00
overall_result_Python_in_range_m.json,Python,Overall m,86.00,85.00
overall_result_Python_out_range_m.json,Python,Overall m,83.00,76.00
overall_result_CoT_out_range_m.json,Python,Overall m,98.00,96.00
overall_result_CoT_in_range_m.json,Python,Overall m,98.00,95.00
overall_result_LTM_out_range_m.json,Python,Overall m,97.00,99.00
overall_result_LTM_in_range_m.json,Python,Overall m,98.00,94.00
overall_result_Python_overlapped_m.json,Python,Overall m,85.00,85.00
overall_result_Python_nonoverlapped_m.json,Python,Overall m,86.00,86.00
overall_result_CoT_overlapped_m.json,Python,Overall m,96.00,96.00
overall_result_CoT_nonoverlapped_m.json,Python,Overall m,95.00,98.00
overall_result_LTM_overlapped_m.json,Python,Overall m,95.00,95.00
overall_result_LTM_nonoverlapped_m.json,Python,Overall m,96.00,93.00
overall_result_Python_in_topic_m.json,Python,Overall m,85.00,90.00
overall_result_Python_out_topic_m.json,Python,Overall m,94.00,91.00
overall_result_CoT_in_topic_m.json,Python,Overall m,99.00,97.00
overall_result_CoT_out_topic_m.json,Python,Overall m,97.00,98.00
overall_result_LTM_in_topic_m.json,Python,Overall m,96.00,91.00
overall_result_LTM_out_topic_m.json,Python,Overall m,97.00,96.00
